"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","japanese","portuguese",
"options_game_field_of_view_desc","Changes camera's cone of view so you see better into the distance or at the environment close around you. It's recommended to set this to full if you suffer from motion sickness.","Changes camera's cone of view so you see better into the distance or at the environment close around you. It's recommended to set this to full if you suffer from motion sickness.","Changes camera's cone of view so you see better into the distance or at the environment close around you. It's recommended to set this to full if you suffer from motion sickness.","Changes camera's cone of view so you see better into the distance or at the environment close around you. It's recommended to set this to full if you suffer from motion sickness.","Changes camera's cone of view so you see better into the distance or at the environment close around you. It's recommended to set this to full if you suffer from motion sickness.","Changes camera's cone of view so you see better into the distance or at the environment close around you. It's recommended to set this to full if you suffer from motion sickness.","Changes camera's cone of view so you see better into the distance or at the environment close around you. It's recommended to set this to full if you suffer from motion sickness.","Changes camera's cone of view so you see better into the distance or at the environment close around you. It's recommended to set this to full if you suffer from motion sickness.","Changes camera's cone of view so you see better into the distance or at the environment close around you. It's recommended to set this to full if you suffer from motion sickness.","Changes camera's cone of view so you see better into the distance or at the environment close around you. It's recommended to set this to full if you suffer from motion sickness.","Changes camera's cone of view so you see better into the distance or at the environment close around you. It's recommended to set this to full if you suffer from motion sickness.","Changes camera's cone of view so you see better into the distance or at the environment close around you. It's recommended to set this to full if you suffer from motion sickness.",
"options_head_bob","HEAD BOB","HEAD BOB","HEAD BOB","HEAD BOB","HEAD BOB","HEAD BOB","HEAD BOB","HEAD BOB","HEAD BOB","HEAD BOB","HEAD BOB","HEAD BOB",
"options_HUD","SHOW HUD","SHOW HUD","SHOW HUD","SHOW HUD","SHOW HUD","SHOW HUD","SHOW HUD","SHOW HUD","SHOW HUD","SHOW HUD","SHOW HUD","SHOW HUD",
"options_game_inv_mouse","INVERT MOUSE","INVERT MOUSE","INVERT MOUSE","INVERT MOUSE","INVERT MOUSE","INVERT MOUSE","INVERT MOUSE","INVERT MOUSE","INVERT MOUSE","INVERT MOUSE","INVERT MOUSE","INVERT MOUSE",
"options_SERVER_MESSAGES","SERVER MESSAGES","SERVER MESSAGES","SERVER MESSAGES","SERVER MESSAGES","SERVER MESSAGES","SERVER MESSAGES","SERVER MESSAGES","SERVER MESSAGES","SERVER MESSAGES","SERVER MESSAGES","SERVER MESSAGES","SERVER MESSAGES",
"options_USERS_CHAT","USERS CHAT","USERS CHAT","USERS CHAT","USERS CHAT","USERS CHAT","USERS CHAT","USERS CHAT","USERS CHAT","USERS CHAT","USERS CHAT","USERS CHAT","USERS CHAT",
"options_game_fov","FIELD OF VIEW","FIELD OF VIEW","FIELD OF VIEW","FIELD OF VIEW","FIELD OF VIEW","FIELD OF VIEW","FIELD OF VIEW","FIELD OF VIEW","FIELD OF VIEW","FIELD OF VIEW","FIELD OF VIEW","FIELD OF VIEW",
"options_game_show_crosshair_desc","When enabled, this shows a dot or a cross in the middle of the screen during gameplay. Some servers disable this option for all of their players.","When enabled, this shows a dot or a cross in the middle of the screen during gameplay. Some servers disable this option for all of their players.","When enabled, this shows a dot or a cross in the middle of the screen during gameplay. Some servers disable this option for all of their players.","When enabled, this shows a dot or a cross in the middle of the screen during gameplay. Some servers disable this option for all of their players.","When enabled, this shows a dot or a cross in the middle of the screen during gameplay. Some servers disable this option for all of their players.","When enabled, this shows a dot or a cross in the middle of the screen during gameplay. Some servers disable this option for all of their players.","When enabled, this shows a dot or a cross in the middle of the screen during gameplay. Some servers disable this option for all of their players.","When enabled, this shows a dot or a cross in the middle of the screen during gameplay. Some servers disable this option for all of their players.","When enabled, this shows a dot or a cross in the middle of the screen during gameplay. Some servers disable this option for all of their players.","When enabled, this shows a dot or a cross in the middle of the screen during gameplay. Some servers disable this option for all of their players.","When enabled, this shows a dot or a cross in the middle of the screen during gameplay. Some servers disable this option for all of their players.","When enabled, this shows a dot or a cross in the middle of the screen during gameplay. Some servers disable this option for all of their players.",
"options_RADIO_CHAT","RADIO CHAT","RADIO CHAT","RADIO CHAT","RADIO CHAT","RADIO CHAT","RADIO CHAT","RADIO CHAT","RADIO CHAT","RADIO CHAT","RADIO CHAT","RADIO CHAT","RADIO CHAT",
"options_game_show_HUD_desc","If enabled then you can see your character's status (stamina, hunger, thirst, ...) at all times. Otherwise you can see them only while the Inventor menu is open.","If enabled then you can see your character's status (stamina, hunger, thirst, ...) at all times. Otherwise you can see them only while the Inventor menu is open.","If enabled then you can see your character's status (stamina, hunger, thirst, ...) at all times. Otherwise you can see them only while the Inventor menu is open.","If enabled then you can see your character's status (stamina, hunger, thirst, ...) at all times. Otherwise you can see them only while the Inventor menu is open.","If enabled then you can see your character's status (stamina, hunger, thirst, ...) at all times. Otherwise you can see them only while the Inventor menu is open.","If enabled then you can see your character's status (stamina, hunger, thirst, ...) at all times. Otherwise you can see them only while the Inventor menu is open.","If enabled then you can see your character's status (stamina, hunger, thirst, ...) at all times. Otherwise you can see them only while the Inventor menu is open.","If enabled then you can see your character's status (stamina, hunger, thirst, ...) at all times. Otherwise you can see them only while the Inventor menu is open.","If enabled then you can see your character's status (stamina, hunger, thirst, ...) at all times. Otherwise you can see them only while the Inventor menu is open.","If enabled then you can see your character's status (stamina, hunger, thirst, ...) at all times. Otherwise you can see them only while the Inventor menu is open.","If enabled then you can see your character's status (stamina, hunger, thirst, ...) at all times. Otherwise you can see them only while the Inventor menu is open.","If enabled then you can see your character's status (stamina, hunger, thirst, ...) at all times. Otherwise you can see them only while the Inventor menu is open.",
"options_QUICKBAR","SHOW QUICKBAR","SHOW QUICKBAR","SHOW QUICKBAR","SHOW QUICKBAR","SHOW QUICKBAR","SHOW QUICKBAR","SHOW QUICKBAR","SHOW QUICKBAR","SHOW QUICKBAR","SHOW QUICKBAR","SHOW QUICKBAR","SHOW QUICKBAR",
"options_game_show_quickbar_desc","Shows or hides quick bar during gameplay. When inventory is open, Quickbar is always shown regardless of this setting.","Shows or hides quick bar during gameplay. When inventory is open, Quickbar is always shown regardless of this setting.","Shows or hides quick bar during gameplay. When inventory is open, Quickbar is always shown regardless of this setting.","Shows or hides quick bar during gameplay. When inventory is open, Quickbar is always shown regardless of this setting.","Shows or hides quick bar during gameplay. When inventory is open, Quickbar is always shown regardless of this setting.","Shows or hides quick bar during gameplay. When inventory is open, Quickbar is always shown regardless of this setting.","Shows or hides quick bar during gameplay. When inventory is open, Quickbar is always shown regardless of this setting.","Shows or hides quick bar during gameplay. When inventory is open, Quickbar is always shown regardless of this setting.","Shows or hides quick bar during gameplay. When inventory is open, Quickbar is always shown regardless of this setting.","Shows or hides quick bar during gameplay. When inventory is open, Quickbar is always shown regardless of this setting.","Shows or hides quick bar during gameplay. When inventory is open, Quickbar is always shown regardless of this setting.","Shows or hides quick bar during gameplay. When inventory is open, Quickbar is always shown regardless of this setting.",
